Name,Region,Image,IsDisbanded,RenamedTo,IsLowercase,Short,OverviewPage
,Americas,https://lol.fandom.com/wiki/Special:Redirect/file/Drury Universitylogo square.png,0,,,DU,Drury University
,Americas,https://lol.fandom.com/wiki/Special:Redirect/file/Straw Hat Crewlogo square.png,0,,,SHC,Straw Hat Crew
,EMEA,https://lol.fandom.com/wiki/Special:Redirect/file/TT willhabenlogo square.png,1,,,TTW,TT willhaben
,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Flayn eSports Swiss Editionlogo square.png,1,,,FYN.CH,Flayn eSports Swiss Edition
,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Greek Gorillazlogo square.png,1,,,GG,Greek Gorillaz
,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/One Piece eSportslogo square.png,1,,,OPE,One Piece eSports
,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/Reflex logo.png,1,,,RFX,Reflex Esport Club
00 Nation,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/00 Nationlogo square.png,1,,1,00N,00 Nation
00 Prospects,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/00 Prospectslogo square.png,1,,1,00P,00 Prospects
1 Trick Ponies,North America,https://lol.fandom.com/wiki/Special:Redirect/file/1trickponies_logo.png,1,,1,1TP,1 Trick Ponies
1. Berliner Esport-Club e.V.,Europe,https://lol.fandom.com/wiki/Special:Redirect/file/1. Berliner Esport-Club e.V.logo square.png,1,,1,BESC,1. Berliner Esport-Club e.V.
100 Thieves,Americas,https://lol.fandom.com/wiki/Special:Redirect/file/100 Thieveslogo profile.png,0,,1,100T,100 Thieves
100 Thieves Academy,North America,https://lol.fandom.com/wiki/Special:Redirect/file/100 Thieves Academylogo square.png,1,100 Thieves Challengers,1,100.A,100 Thieves Academy
100 Thieves Challengers,North America,https://lol.fandom.com/wiki/Special:Redirect/file/100 Thieves Challengerslogo square.png,1,,1,100C,100 Thieves Challengers
